^:<name=transclusion>	def
axial_age	^wiki<@軸心世紀> ^baidu<@轴心时代/61314561>公元前五百年前後一兩百年間，北緯30度右右，哲人輩出。中國先秦有孔子、老子等諸子百家，^t#ancient_greece(古希臘)有^t#socrates(蘇格拉底)，古波斯有^t#zoroaster(瑣羅亞斯德)，而古印度則有反^t#brahmin(婆羅門)的^t#sramana(沙門思潮)代表人物^t#buddha(佛陀)。
arahat	^wiki<@阿羅漢> 根除煩惱，死後不再輪迴之人。
ancient_greece	^wiki<@古希臘>^baidu<@古希腊>狹義上指希臘地區從公元前12世紀邁錫尼文明毀滅至公元前146年希臘地區被羅馬共和國征服為止。廣義上指愛琴諸文明在羅馬人征服前的全部歷史。
socrates	^wiki<@蘇格拉底>^baidu<@苏格拉底>^t#ancient_greece(古希臘)哲學家，和其追隨者柏拉圖及柏拉圖的學生亞里斯多德被並稱為希臘三賢。以不敬神的罪名，被雅典公民判處死刑。
sramana	^wiki<@佛陀>^baidu<@佛陀>^wiki<@沙門思潮>^baidu<@沙门思潮>
lumires	^wiki<@啟蒙時代> 一場在17世紀及18世紀於歐洲發生的哲學及文化運動，主張理性發展知識可以解決人類實存的基本問題。
laicite	^wiki<@政教分離>國家政府權力與宗教機構權力的分割。此外國家力量不援助、助長、壓迫各宗教團體。
secularization	^wiki<@世俗化>通過現代化和理性化，宗教逐漸由在現實生活中無處不在的地位，退縮到一個相對獨立的宗教領域裡。
buddha	佛教的創始人，出生於^t#axial_age(軸心時代)的古印度，^t#kshatriya(剎帝利)種姓。
brahmin	起緣於^t#veda(吠陀)，古印度^t#caste(種姓制度)主掌祭祀。三綱：吠陀天啟、祭祀萬能、婆羅門至上。
kshatriya	^wiki<@剎帝利>^baidu<@剎帝利>軍事貴族。掌握除了意識型態以外的所有統治權力。
veda	原意為「啟示」，婆羅門教根本經典包括：收集歌詠的梨俱、讚頌的娑摩、祭祀的夜柔、禳災的阿闥婆。
bhikkhuni	^wiki<@比丘尼>^baidu<@比丘尼>女性的佛教出家人。守311條戒。二部僧受。蓮華色。
caste	通過內婚制將社會階層固化的社會制度。最典型的例子是印度的瓦爾納種姓制度，分為^t#brahmin(婆羅門)、^t#kshatriya(剎帝利)、吠舍、首陀羅，以及在不可接觸的賤民。
mahapajapati_gotami	訶波闍波提瞿曇彌，意譯為大愛道，佛陀的姨母，丈夫^t#suddhodana(淨飯王)過世之後，成為僧團第一位^t#bhikkhuni(比丘尼)。
suddhodana	suddha+odana 純淨的米飯，^t#buddha(悉達多)太子之父。
kapilavastu	^t#shakya(釋迦)族之首都。
shakya	^wiki<@釋迦族>^baidu<@释迦族>佛陀的部族名。
gotama	佛陀的族姓，源自^t#shakya(釋迦)族祖仙名。又譯為瞿曇，意思是最好的牛。
posthumous_name	^wiki<@諡號>朱元璋「開天行道」、朱棣「體天弘道」、朱厚熜「欽天履道」、朱由榔「應天推道」。愛新覺羅氏：努爾哈赤「承天」、皇太極「應天」、福臨「體天」、玄燁「合天」、胤禛「敬天」、弘曆「法天」。
pali	^wiki<@巴利語> 是古印度語言，屬於印歐語系、印度伊朗語族、雅利安語，與梵語十分相近。
semitic	^wiki<@閃族人> 起源於阿拉伯半島和敘利亞沙漠的遊牧民族。很可能是巴勒斯坦人、敘利亞人與猶太族裔的先祖。
sovereign_state	由1648年西發里亞條約精神而形成之概念。
zoroaster	^wiki<@瑣羅亞斯德>^t#zoroastrianism(祅教)創始者。出身於^t#medes(米底)王國的一個貴族騎士家庭，20歲時棄家隱居，30歲時聲稱受到神啟，77歲時在神廟中被殺身亡。
zoroastrianism	^wiki<@祅教> 基本教義：^t#ahura_mazda(阿胡拉·馬茲達)是代表光明的善神，阿里曼則是代表黑暗的惡神；與同源的印度神話中，他是和雷神^t#indra(因陀羅)爭戰的惡神阿修羅，轉入佛教之後即為現在六道中的^t#asura(阿修羅)道。
ahura_mazda	^wiki<@阿胡拉·馬茲達> 阿胡拉：主，馬茲達：光明，日本汽車品牌馬自達（Mazda）與創辦人松田重次郎的姓氏（松田，Matsuda）諧音。
indra	又名帝釋天（Śakra），梨俱吠陀中是出現最多的神，在^t#brahmin(婆羅門)教修改之後，被^t#brahma(梵天)、^t#shiva(濕婆)、^t#visnu(毗濕奴)三神所取代。
brahma	^wiki<@梵天>印度教中創造之神
shiva	^wiki<@濕婆>印度教中毀滅之神
visnu	^wiki<@毗濕奴>印度教中守護之神
asura	^wiki<@阿修羅> 加上原始佛教五道（天、人、畜生、餓鬼、地獄），六道輪迴。
medes	^wiki<@米底王國> 古伊朗人在公元前7世紀初建立一個帝國，持續到公元前550年代結束，這個王朝導致^t#assyria(亞述)帝國的覆亡。
assyria	^wiki<@亞述> 公元前2000年興起兩河流域的國家，先後征服了小亞細亞東部、敘利亞、腓尼基、巴勒斯坦、巴比倫尼亞和埃及等地。最終因窮兵贖武，於公元前605年滅亡。
